"kunta","vuosi","month","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"850",2009,5,263,18,263,18,5,5,0.2,0,0.2,0
"255",2009,5,263,18,263,18,24,24,0.291666666666667,0,0.25,0.0416666666666667
"618",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",2009,9,263,18,263,18,218,227,0.26605504587156,0.0275229357798165,0.284403669724771,0.00881057268722467
"445",2009,2,263,11,263,18,13,14,0.153846153846154,0,0.307692307692308,0
"140",2009,2,263,12,263,40,18,18,0.333333333333333,0.166666666666667,0.388888888888889,0
"240",2009,3,263,15,263,18,18,19,0.0555555555555556,0,0.444444444444444,0.0526315789473684
"694",2009,9,263,18,263,18,28,29,0.107142857142857,0,0.25,0
"179",2009,11,263,18,263,18,143,145,0.300699300699301,0.048951048951049,0.188811188811189,0.0137931034482759
"564",2009,9,263,18,263,18,170,178,0.258823529411765,0.0411764705882353,0.270588235294118,0.0112359550561798
"257",2009,4,263,18,263,18,42,42,0.380952380952381,0.0238095238095238,0.142857142857143,0
"179",2009,10,263,18,263,18,145,144,0.23448275862069,0.0344827586206897,0.289655172413793,0
"858",2009,9,263,18,263,18,42,44,0.19047619047619,0,0.166666666666667,0
"499",2009,2,263,18,263,18,19,19,0.157894736842105,0,0.157894736842105,0
"851",2009,1,263,18,263,18,26,27,0.192307692307692,0.0384615384615385,0.346153846153846,0
"178",2009,8,263,17,263,18,8,7,0.25,0,0.375,0
"684",2009,2,263,18,263,18,25,27,0.2,0,0.32,0
"535",2009,10,263,18,263,18,23,23,0.0434782608695652,0.0434782608695652,0.130434782608696,0
"232",2009,2,263,17,263,18,11,10,0,0,0.272727272727273,0
"980",2009,7,263,17,263,18,55,55,0.218181818181818,0.0181818181818182,0.345454545454545,0
"418",2009,2,263,18,263,18,31,33,0.193548387096774,0,0.161290322580645,0
"691",2009,5,263,18,263,18,5,5,0.4,0,0,0
"753",2009,12,263,18,263,40,24,24,0.416666666666667,0.125,0.25,0.0416666666666667
"020",2009,12,263,18,263,18,13,14,0.0769230769230769,0,0.307692307692308,0
"399",2009,10,263,17,263,18,11,10,0.0909090909090909,0,0.363636363636364,0
"837",2009,10,263,18,263,18,189,198,0.338624338624339,0.0476190476190476,0.275132275132275,0.0151515151515152
"272",2009,7,263,18,263,18,64,62,0.203125,0.046875,0.15625,0
"915",2009,6,263,18,263,18,16,17,0.25,0.125,0,0.0588235294117647
"186",2009,10,263,18,263,18,34,36,0.264705882352941,0.0294117647058824,0.264705882352941,0
"152",2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
